Classification,Record count,Reason category
INACC/ENTRAP B2,5,
POLICE REPORT,5,
SHOPLIFTING,5,
HEMOR/LACER B1,4,
CHEST PAIN D5,4,
B&E MV IN PROG,4,
NOISE OTHER,4,
UNCONSCIOUS D3,4,
PAST S ASSAULT,3,
MAN DOWN B3,3,
NOTIFY TRAF SIG,3,
CARDIAC E1,3,
NOTIFY CITIZEN,3,
FALLS A2,3,
FALLS A3,3,
B&E IN PROG,3,
SEIZURE D2,3,
GAS LEAK,3,
HARVARD ALARM,3,
STROKE C3,3,
WATER PROBLEM,3,
DIRECTPATROL BR,3,
FIRE COMPLAINT,3,
UNCONSCIOUS C2,3,
TRESPASS,3,
MV ACCIDENT D8,3,Accident
HARASSING,3,
SICK PERSON D1,3,
CARDIAC E2,3,
UNCONSCIOUS A1,3,
TRAUMATIC A2,3,
STAB/SHOT B3,2,
CO/GAS ALARM,2,
PSYCH/SUICID B3,2,
OVERDOSE C7,2,
PSYCH/SUICID A1,2,
MV ACCIDENT D3,2,Accident
CHEST PAIN C1,2,
SICK PERSON C1,2,
MV ACCIDENT D6,2,Accident
SCREAMS,2,
INDECENT EXPOSU,2,
STAB/SHOT D5,2,
BREATHING C1,2,
LOCK IN,2,
HEART PROBS D4,2,
SICK PERSON C2,2,
PSYCH/SUICID D1,2,
PINKSLIP SERVIC,2,
WIRE DOWN,2,
MV ACCIDENT D7,2,Accident
PERSON W/WEAPON,2,
OUTSIDE FIRE,2,
SICK PERSON A7,2,
NOISE CONSTRUCT,2,
111B,2,
DIABETIC C1,2,
TRAUMATIC B1,2,
STAB/SHOT D4,2,
CITY POLICE ALM,2,
FALLS B1,2,
BREATHING D4,1,
OVERDOSE D2,1,
FLIMFLAM,1,
MANHOLE EXPL/SM,1,
SICK PERSON A11,1,
911 MISROUTED,1,
ASSIST CITY,1,
HEMOR/LACER D4,1,
CHEST PAIN C3,1,
FIREWORKS,1,
UNCONSCIOUS D4,1,
ELECTRICAL ODOR,1,
HEADACHE A1,1,
BIOHAZARD,1,
CHECK BUILDING,1,
HEMOR/LACER B2,1,
CHEST PAIN A1,1,
STROKE C1,1,
SEIZURE A4,1,
BREATHING D1,1,
HEART PROBS C4,1,
DIRECT PATROL T,1,
OVERDOSE O1,1,
UNKNOWN ODOR,1,
OVERDOSE C1,1,
A&B DW IN PROG,1,
STAB/SHOT A1,1,
SEIZURE A2,1,
MV IN WATER,1,
DIRECTPATROL HB,1,
BANK ROBBERY,1,Larceny
SUMMONS,1,
STREET BLOCKED,1,
UNARMED ROBBERY,1,Larceny
SEIZURE A5,1,
FALLS D3,1,
PAST DOMESTIC,1,
ATTEMPTED B&E,1,
STROKE C11,1,
STAB/SHOT B4,1,
HEMOR/LACER A1,1,
ELECTROCUTE D4,1,
COURT,1,
ABD PAIN A1,1,
ELEVATOR ALARM,1,
SEIZURE D4,1,
HEART PROBS C7,1,
OVERDOSE D1,1,
NOISE EQUIPMENT,1,
EXPLOSION,1,
SICK PERSON A9,1,
UTTERING,1,
OVERDOSE C2,1,
SICK PERSON A3,1,
